Date,Lat_Long,LocationName,Sensor1_Type,"Sensor1_Cleaning (Y,N)",Sensor1_Download (File name),Sensor1_Notes,Sensor2_Type,"Sensor2_Cleaning (Y,N)",Sensor2_Download (File name),Sensor2_Notes,Sensor3_Type,"Sensor3_Cleaning (Y,N)",Sensor3_Download (File name),Sensor3_Notes,Sensor4_Type,"Sensor4_Cleaning (Y,N)",Sensor4_Download (File name),Sensor4_Notes,Sensor5_Type,"Sensor5_Cleaning (Y,N)",Sensor5_Download (File name),Sensor5_Notes,WaterCollection_YN,TimeWaterCollection,NotesWaterCollection,NumberOfWaterBottles,Label_1,Depth_1,Label_2,Depth_2,Label_3,Depth_3,Label_4,Depth_4
05/07/2021,"41.657, -70.1153",West Harwich,pH Sensor,,,Sal default at 30,Castaway,,,,,,,,,,,,,,,,Y,13:00,,3,HAR-d1,3.338,HAR-d2,3.338,HAR-s,0.5,,
06/11/2021,"41.657, -70.1153",West Harwich,pH Sensor,,,,Castaway,,,,,,,,,,,,,,,,Y,7:30,,3,HAR-d,2.178,HAR-s1,0.5,HAR-s2,0.5,,
06/18/2021,"41.6459, -70.6366",North Falmouth,pCO2,,,,Castaway,,,,,,,,,,,,,,,,Y,8:35,,2,NFal-s1,1,NFal-s2,1,,,,
06/18/2021,"41.657, -70.1154",West Harwich,pH Sensor,,,,Castaway,,,,,,,,,,,,,,,,Y,12:30,,3,HAR-d1,1.491,HAR-d2,1.491,HAR-s,0.5,,
07/08/2021,"41.657, -70.1155",West Harwich,pH Sensor,,,,Castaway,,,,,,,,,,,,,,,,Y,13:00,,3,HAR-d1,2.621,HAR-d2,2.621,HAR-s,0.5,,
08/02/2021,"41.657, -70.1156",West Harwich,pH Sensor,,,,Castaway,,,,,,,,,,,,,,,,Y,9:00,,3,HAR-d1,1.785,HAR-s1,0.5,HAR-s2,0.5,,
08/02/2021,"41.6459, -70.6366",North Falmouth,pCO2,,,,Castaway,,,,,,,,,,,,,,,,Y,16:30,,2,NFal-d1,1,NFal-d2,1,,,,
09/28/2021,"41.6459, -70.6366",North Falmouth,pCO2,,,,Castaway,,,,,,,,,,,,,,,,Y,9:00,,2,NFal-d1,1,NFal-d2,1,,,,
09/28/2021,"41.657, -70.1157",West Harwich,pH Sensor,,,,Castaway,,,,,,,,,,,,,,,,Y,13:00,,3,HAR-d1,2.606,HAR-d2,2.606,HAR-s,0.5,,
12/10/2021,"41.657, -70.1158",West Harwich,pH Sensor,,,,Castaway,,,,,,,,,,,,,,,,Y,10:00,,3,HAR-d1,2.115,HAR-d2,2.115,HAR-s,0.5,,
12/10/2021,"41.6459, -70.6366",North Falmouth,pCO2,,,,Castaway,,,,,,,,,,,,,,,,Y,12:30,,2,NFal-d1,1,NFal-d2,1,,,,
05/17/2022,"41.657, -70.1159",West Harwich,pH Sensor,,,,Castaway,,,,,,,,,,,,,,,,Y,9:30,,3,HAR-s,2.429,HAR-d1,2.429,HAR-d2,,,
05/17/2022,,Pocasset,pCO2,,,,Castaway,,,,,,,,,,,,,,,,Y,11:00,,2,POC-s1,1.5,POC-s2,1.5,,,,
06/02/2022,,Pocasset,pCO2,,,,Castaway,,,,,,,,,,,,,,,,Y,10:20,,2,POC-s1,1.5,POC-s2,1.5,,,,
06/02/2022,"41.657, -70.1160",West Harwich,pH Sensor,,,,Castaway,,,,,,,,,,,,,,,,Y,14:15,,3,HAR-d1,2.396,HAR-d2,2.396,HAR-s,0.5,,
06/09/2022,"41.657, -70.1161",West Harwich,pH Sensor,,,,Castaway,,,,,,,,,,,,,,,,Y,10:00,,3,HAR-d1,3.172,HAR-d2,3.172,HAR-s,0.5,,
07/14/2022,"41.657, -70.1162",West Harwich,pH Sensor,,,,Castaway,,,,,,,,,,,,,,,,Y,11:00,,3,HAR-d1,1.418,HAR-d2,1.418,HAR-s,0.5,,
07/14/2022,,Pocasset,,,,,Castaway,,,,,,,,,,,,,,,,Y,13:50,,2,POC-s1,1.5,POC-s2,1.5,,,,
08/08/2022,"41.657, -70.1163",West Harwich,pH Sensor,,,,Castaway,,,,,,,,,,,,,,,,Y,9:45,,3,HAR-d1,2.824,HAR-d2,2.824,HAR-s,0.5,,
08/08/2022,,Pocasset,pCO2,,,,Castaway,,,,,,,,,,,,,,,,Y,11:50,,2,POC-s1,1.5,POC-s2,1.5,,,,
09/22/2022,"41.657, -70.1164",West Harwich,pH Sensor,,,,Castaway,,,,,,,,,,,,,,,,Y,10:25,,3,HAR-d1,3.324,HAR-d2,3.324,HAR-s,0.5,,
09/22/2022,,Pocasset,pCO2,,,,Castaway,,,,,,,,,,,,,,,,Y,12:00,,2,POC-s1,1.5,POC-s2,1.5,,,,
12/01/2022,"41.657, -70.1165",West Harwich,pH Sensor,,,,Castaway,,,,,,,,,,,,,,,,Y,15:00,,3,HAR-d1,2.387,HAR-d2,2.387,HAR-s,0.5,,
12/01/2022,,Pocasset,pCO2,,,,Castaway,,,,,,,,,,,,,,,,Y,14:30,,2,POC-s1,1.5,POC-s2,1.5,,,,