Date,Time,Temp,pH,Battery,Date (UTC)
2019-08-18,09:59:59,21.24,7.9441,10.59,2019-08-18 09:59:59
2019-08-18,10:59:59,21.39,7.9347,10.6,2019-08-18 10:59:59
2019-08-18,11:59:59,21.41,7.9215,10.6,2019-08-18 11:59:59
2019-08-18,12:59:59,21.66,7.899,10.6,2019-08-18 12:59:59
2019-08-18,13:59:59,21.91,7.9082,10.6,2019-08-18 13:59:59
2019-08-18,14:59:59,22.74,7.8852,10.61,2019-08-18 14:59:59
2019-08-18,15:59:59,23.63,7.8918,10.62,2019-08-18 15:59:59
2019-08-18,16:59:59,22.81,7.9087,10.63,2019-08-18 16:59:59
2019-08-18,17:59:59,22.96,7.9642,10.62,2019-08-18 17:59:59
2019-08-18,18:59:59,23.17,7.9682,10.62,2019-08-18 18:59:59
2019-08-18,19:59:59,23.68,7.9557,10.62,2019-08-18 19:59:59
2019-08-18,20:59:59,24.37,7.9529,10.62,2019-08-18 20:59:59
2019-08-18,21:59:59,24.19,7.956,10.63,2019-08-18 21:59:59
2019-08-18,22:59:59,24.5,7.9347,10.63,2019-08-18 22:59:59
2019-08-18,23:59:59,24.42,7.9205,10.63,2019-08-18 23:59:59
2019-08-19,00:59:59,24.45,7.9168,10.62,2019-08-19 00:59:59
2019-08-19,01:59:59,24.48,7.8851,10.62,2019-08-19 01:59:59
2019-08-19,02:59:59,24.45,7.8846,10.62,2019-08-19 02:59:59
2019-08-19,03:59:59,24.4,7.873,10.62,2019-08-19 03:59:59
2019-08-19,04:59:59,21.71,7.8969,10.62,2019-08-19 04:59:59
2019-08-19,05:59:59,21.86,7.9133,10.59,2019-08-19 05:59:59
2019-08-19,06:59:59,21.83,7.8994,10.58,2019-08-19 06:59:59
2019-08-19,07:59:59,22.18,7.8531,10.58,2019-08-19 07:59:59
2019-08-19,08:59:59,22.58,7.8139,10.59,2019-08-19 08:59:59
2019-08-19,09:59:59,22.86,7.8395,10.59,2019-08-19 09:59:59
2019-08-19,10:59:59,22.96,7.8539,10.59,2019-08-19 10:59:59
2019-08-19,11:59:59,23.09,7.8011,10.59,2019-08-19 11:59:59
2019-08-19,12:59:59,23.37,7.7823,10.59,2019-08-19 12:59:59
2019-08-19,13:59:59,24.04,7.7668,10.6,2019-08-19 13:59:59
2019-08-19,14:59:59,24.87,7.7598,10.6,2019-08-19 14:59:59
2019-08-19,15:59:59,26.32,7.7558,10.61,2019-08-19 15:59:59
2019-08-19,16:59:59,26.8,7.7655,10.62,2019-08-19 16:59:59
2019-08-19,17:59:59,23.14,7.8919,10.61,2019-08-19 17:59:59
2019-08-19,18:59:59,23.93,7.91,10.6,2019-08-19 18:59:59
2019-08-19,19:59:59,24.32,7.9162,10.59,2019-08-19 19:59:59
2019-08-19,20:59:59,25.42,7.9038,10.61,2019-08-19 20:59:59
2019-08-19,21:59:59,26.45,7.8755,10.62,2019-08-19 21:59:59
2019-08-19,22:59:59,26.19,7.8744,10.62,2019-08-19 22:59:59
2019-08-19,23:59:59,25.87,7.8566,10.62,2019-08-19 23:59:59
2019-08-20,00:59:59,25.66,7.8614,10.61,2019-08-20 00:59:59
2019-08-20,01:59:59,25.47,7.8396,10.61,2019-08-20 01:59:59
2019-08-20,02:59:59,25.29,7.8273,10.6,2019-08-20 02:59:59
2019-08-20,03:59:59,25.08,7.7681,10.6,2019-08-20 03:59:59
2019-08-20,04:59:59,24.92,7.7642,10.6,2019-08-20 04:59:59
2019-08-20,06:59:59,22.23,7.8074,10.56,2019-08-20 06:59:59
2019-08-20,07:59:59,22.48,7.7742,10.55,2019-08-20 07:59:59
2019-08-20,08:59:59,22.71,7.7359,10.55,2019-08-20 08:59:59
2019-08-20,09:59:59,22.71,7.7626,10.55,2019-08-20 09:59:59
2019-08-20,10:59:59,22.66,7.7326,10.55,2019-08-20 10:59:59
2019-08-20,11:59:59,22.69,7.6988,10.55,2019-08-20 11:59:59
2019-08-20,12:59:59,22.94,7.6973,10.55,2019-08-20 12:59:59
2019-08-20,13:59:59,23.78,7.6725,10.56,2019-08-20 13:59:59
2019-08-20,14:59:59,24.5,7.664,10.56,2019-08-20 14:59:59
2019-08-20,15:59:59,25.39,7.6561,10.57,2019-08-20 15:59:59
2019-08-20,16:59:59,26.29,7.6613,10.58,2019-08-20 16:59:59
2019-08-20,17:59:59,27.46,7.6586,10.59,2019-08-20 17:59:59
2019-08-20,18:59:59,25.0,7.9051,10.56,2019-08-20 18:59:59
2019-08-20,19:59:59,25.34,7.9175,10.56,2019-08-20 19:59:59
2019-08-20,20:59:59,26.32,7.8712,10.56,2019-08-20 20:59:59
2019-08-20,21:59:59,26.0,7.9092,10.57,2019-08-20 21:59:59
2019-08-20,22:59:59,25.97,7.9043,10.57,2019-08-20 22:59:59
2019-08-20,23:59:59,25.84,7.8778,10.57,2019-08-20 23:59:59
2019-08-21,00:59:59,25.68,7.8459,10.57,2019-08-21 00:59:59
2019-08-21,01:59:59,25.47,7.8243,10.56,2019-08-21 01:59:59
2019-08-21,02:59:59,25.31,7.7983,10.56,2019-08-21 02:59:59
2019-08-21,03:59:59,25.13,7.7892,10.55,2019-08-21 03:59:59
2019-08-21,04:59:59,24.97,7.7711,10.55,2019-08-21 04:59:59
2019-08-21,05:59:59,24.79,7.7254,10.55,2019-08-21 05:59:59
2019-08-21,06:59:59,21.36,7.867,10.52,2019-08-21 06:59:59
2019-08-21,07:59:59,21.83,7.8743,10.5,2019-08-21 07:59:59
2019-08-21,08:59:59,22.01,7.8198,10.5,2019-08-21 08:59:59
2019-08-21,09:59:59,22.38,7.8128,10.5,2019-08-21 09:59:59
2019-08-21,10:59:59,22.18,7.8604,10.5,2019-08-21 10:59:59
2019-08-21,11:59:59,22.23,7.856,10.5,2019-08-21 11:59:59
2019-08-21,12:59:59,22.38,7.8407,10.5,2019-08-21 12:59:59
2019-08-21,13:59:59,22.81,7.7947,10.5,2019-08-21 13:59:59
2019-08-21,14:59:59,23.32,7.7923,10.5,2019-08-21 14:59:59
2019-08-21,15:59:59,23.86,7.7879,10.51,2019-08-21 15:59:59
2019-08-21,16:59:59,23.99,7.7769,10.51,2019-08-21 16:59:59
2019-08-21,17:59:59,24.55,7.7989,10.52,2019-08-21 17:59:59
2019-08-21,18:59:59,21.63,7.9375,10.48,2019-08-21 18:59:59
2019-08-21,19:59:59,22.03,7.9487,10.48,2019-08-21 19:59:59
2019-08-21,20:59:59,22.38,7.9582,10.47,2019-08-21 20:59:59
2019-08-21,21:59:59,23.86,7.9227,10.48,2019-08-21 21:59:59
2019-08-21,22:59:59,23.93,7.9249,10.49,2019-08-21 22:59:59
2019-08-21,23:59:59,23.63,7.9199,10.5,2019-08-21 23:59:59
2019-08-22,00:59:59,23.57,7.9032,10.49,2019-08-22 00:59:59
2019-08-22,01:59:59,23.55,7.8736,10.49,2019-08-22 01:59:59
2019-08-22,02:59:59,23.57,7.8406,10.49,2019-08-22 02:59:59
2019-08-22,03:59:59,23.47,7.8142,10.49,2019-08-22 03:59:59
2019-08-22,04:59:59,23.32,7.7948,10.49,2019-08-22 04:59:59
2019-08-22,05:59:59,23.24,7.7756,10.48,2019-08-22 05:59:59
2019-08-22,06:59:59,23.24,7.7457,10.48,2019-08-22 06:59:59
2019-08-22,07:59:59,21.61,7.8176,10.46,2019-08-22 07:59:59
2019-08-22,08:59:59,22.21,7.7793,10.46,2019-08-22 08:59:59
2019-08-22,09:59:59,22.13,7.7557,10.46,2019-08-22 09:59:59
2019-08-22,10:59:59,22.11,7.7771,10.46,2019-08-22 10:59:59
2019-08-22,11:59:59,22.48,7.8027,10.46,2019-08-22 11:59:59
2019-08-22,12:59:59,22.89,7.7899,10.46,2019-08-22 12:59:59
2019-08-22,13:59:59,23.4,7.7832,10.46,2019-08-22 13:59:59
2019-08-22,14:59:59,24.19,7.7548,10.47,2019-08-22 14:59:59
2019-08-22,15:59:59,26.03,7.7539,10.48,2019-08-22 15:59:59
2019-08-22,16:59:59,26.78,7.7398,10.49,2019-08-22 16:59:59
2019-08-22,17:59:59,27.54,7.7375,10.51,2019-08-22 17:59:59
2019-08-22,18:59:59,28.11,7.7866,10.51,2019-08-22 18:59:59
2019-08-22,19:59:59,22.86,7.9332,10.48,2019-08-22 19:59:59
2019-08-22,21:59:59,24.55,7.9261,10.46,2019-08-22 21:59:59
2019-08-22,22:59:59,24.63,7.9298,10.46,2019-08-22 22:59:59
2019-08-22,23:59:59,25.23,7.9115,10.47,2019-08-22 23:59:59
2019-08-23,00:59:59,24.95,7.9193,10.47,2019-08-23 00:59:59
2019-08-23,01:59:59,24.76,7.9149,10.47,2019-08-23 01:59:59
2019-08-23,02:59:59,24.58,7.8961,10.46,2019-08-23 02:59:59
2019-08-23,03:59:59,24.45,7.8586,10.46,2019-08-23 03:59:59
2019-08-23,04:59:59,24.35,7.8406,10.46,2019-08-23 04:59:59
2019-08-23,05:59:59,24.17,7.8485,10.45,2019-08-23 05:59:59
2019-08-23,06:59:59,24.04,7.8087,10.44,2019-08-23 06:59:59
2019-08-23,07:59:59,22.46,7.7824,10.44,2019-08-23 07:59:59
2019-08-23,08:59:59,21.88,7.7675,10.42,2019-08-23 08:59:59
2019-08-23,09:59:59,22.71,7.7221,10.41,2019-08-23 09:59:59
2019-08-23,10:59:59,22.46,7.7261,10.41,2019-08-23 10:59:59
2019-08-23,11:59:59,22.43,7.7373,10.41,2019-08-23 11:59:59
2019-08-23,12:59:59,22.46,7.7538,10.4,2019-08-23 12:59:59
2019-08-23,13:59:59,22.36,7.7126,10.4,2019-08-23 13:59:59
2019-08-23,14:59:59,22.31,7.7468,10.4,2019-08-23 14:59:59
2019-08-23,15:59:59,22.26,7.7245,10.4,2019-08-23 15:59:59
2019-08-23,16:59:59,22.38,7.7228,10.4,2019-08-23 16:59:59
2019-08-23,17:59:59,22.66,7.7361,10.4,2019-08-23 17:59:59
2019-08-23,18:59:59,23.07,7.7632,10.4,2019-08-23 18:59:59
2019-08-23,19:59:59,22.21,7.8098,10.4,2019-08-23 19:59:59
2019-08-23,20:59:59,21.71,7.9167,10.38,2019-08-23 20:59:59
2019-08-23,21:59:59,22.23,7.902,10.37,2019-08-23 21:59:59
2019-08-23,22:59:59,22.26,7.8702,10.37,2019-08-23 22:59:59
2019-08-24,00:59:59,22.08,7.8699,10.37,2019-08-24 00:59:59
2019-08-24,01:59:59,22.01,7.9045,10.37,2019-08-24 01:59:59
2019-08-24,02:59:59,21.93,7.8566,10.37,2019-08-24 02:59:59
2019-08-24,03:59:59,21.73,7.842,10.37,2019-08-24 03:59:59
2019-08-24,04:59:59,21.46,7.8344,10.36,2019-08-24 04:59:59
2019-08-24,05:59:59,21.24,7.8201,10.35,2019-08-24 05:59:59
2019-08-24,06:59:59,20.99,7.7986,10.35,2019-08-24 06:59:59
2019-08-24,07:59:59,20.74,7.777,10.35,2019-08-24 07:59:59
2019-08-24,08:59:59,20.5,7.7599,10.34,2019-08-24 08:59:59
2019-08-24,09:59:59,19.14,7.7321,10.32,2019-08-24 09:59:59
2019-08-24,10:59:59,19.43,7.7075,10.31,2019-08-24 10:59:59
2019-08-24,11:59:59,19.45,7.7141,10.31,2019-08-24 11:59:59
2019-08-24,12:59:59,19.79,7.7456,10.31,2019-08-24 12:59:59
2019-08-24,13:59:59,20.38,7.7708,10.31,2019-08-24 13:59:59
2019-08-24,14:59:59,21.26,7.7742,10.32,2019-08-24 14:59:59
2019-08-24,15:59:59,22.26,7.7731,10.33,2019-08-24 15:59:59
2019-08-24,16:59:59,23.04,7.7557,10.34,2019-08-24 16:59:59
2019-08-24,17:59:59,23.93,7.786,10.36,2019-08-24 17:59:59
2019-08-24,18:59:59,24.89,7.804,10.37,2019-08-24 18:59:59
2019-08-24,19:59:59,25.44,7.8096,10.38,2019-08-24 19:59:59
2019-08-24,20:59:59,22.69,7.9452,10.38,2019-08-24 20:59:59
2019-08-24,21:59:59,22.71,8.0053,10.35,2019-08-24 21:59:59
2019-08-24,22:59:59,22.86,7.9758,10.34,2019-08-24 22:59:59
2019-08-24,23:59:59,23.01,7.9706,10.34,2019-08-24 23:59:59
2019-08-25,00:59:59,22.76,7.9753,10.34,2019-08-25 00:59:59
2019-08-25,01:59:59,22.56,7.9628,10.33,2019-08-25 01:59:59
2019-08-25,02:59:59,22.36,7.9315,10.33,2019-08-25 02:59:59
2019-08-25,03:59:59,21.91,7.9217,10.33,2019-08-25 03:59:59
2019-08-25,04:59:59,21.56,7.9048,10.32,2019-08-25 04:59:59
2019-08-25,05:59:59,21.19,7.8973,10.31,2019-08-25 05:59:59
2019-08-25,06:59:59,20.87,7.8875,10.3,2019-08-25 06:59:59
2019-08-25,07:59:59,20.62,7.8624,10.3,2019-08-25 07:59:59
2019-08-25,08:59:59,20.35,7.862,10.29,2019-08-25 08:59:59
2019-08-25,09:59:59,19.19,7.8152,10.28,2019-08-25 09:59:59
2019-08-25,10:59:59,18.47,7.8345,10.23,2019-08-25 10:59:59
2019-08-25,11:59:59,19.09,7.8302,10.23,2019-08-25 11:59:59
2019-08-25,12:59:59,19.33,7.8289,10.23,2019-08-25 12:59:59
2019-08-25,13:59:59,19.77,7.8456,10.24,2019-08-25 13:59:59
2019-08-25,14:59:59,20.52,7.8569,10.25,2019-08-25 14:59:59
2019-08-25,15:59:59,20.7,7.8877,10.25,2019-08-25 15:59:59
2019-08-25,16:59:59,21.68,7.8926,10.26,2019-08-25 16:59:59
2019-08-25,17:59:59,22.51,7.9162,10.28,2019-08-25 17:59:59
2019-08-25,18:59:59,22.74,7.9399,10.29,2019-08-25 18:59:59
2019-08-25,19:59:59,22.91,7.9456,10.29,2019-08-25 19:59:59
2019-08-25,20:59:59,22.94,7.9409,10.29,2019-08-25 20:59:59
2019-08-25,21:59:59,19.62,8.0487,10.17,2019-08-25 21:59:59
2019-08-25,22:59:59,20.11,8.0362,10.23,2019-08-25 22:59:59
2019-08-25,23:59:59,20.04,8.0085,10.22,2019-08-25 23:59:59
2019-08-26,00:59:59,20.45,8.0132,10.22,2019-08-26 00:59:59
2019-08-26,01:59:59,20.25,7.9881,10.22,2019-08-26 01:59:59
2019-08-26,02:59:59,20.08,7.9921,10.22,2019-08-26 02:59:59
2019-08-26,03:59:59,19.91,7.9779,10.21,2019-08-26 03:59:59
2019-08-26,04:59:59,19.7,7.9836,10.21,2019-08-26 04:59:59
2019-08-26,05:59:59,19.55,7.9718,10.21,2019-08-26 05:59:59
2019-08-26,06:59:59,19.38,7.9548,10.2,2019-08-26 06:59:59
2019-08-26,07:59:59,19.26,7.9416,10.2,2019-08-26 07:59:59
2019-08-26,08:59:59,19.14,7.9318,10.19,2019-08-26 08:59:59
2019-08-26,09:59:59,18.97,7.9252,10.19,2019-08-26 09:59:59
2019-08-26,10:59:59,17.73,7.9081,10.17,2019-08-26 10:59:59
2019-08-26,11:59:59,16.74,7.8937,10.13,2019-08-26 11:59:59
2019-08-26,12:59:59,17.8,7.8777,10.13,2019-08-26 12:59:59
2019-08-26,13:59:59,18.42,7.8849,10.14,2019-08-26 13:59:59
2019-08-26,14:59:59,19.07,7.9043,10.15,2019-08-26 14:59:59
2019-08-26,15:59:59,20.06,7.9183,10.16,2019-08-26 15:59:59
2019-08-26,16:59:59,20.79,7.9429,10.18,2019-08-26 16:59:59
2019-08-26,17:59:59,21.51,7.9451,10.19,2019-08-26 17:59:59
2019-08-26,18:59:59,22.21,7.9716,10.2,2019-08-26 18:59:59
2019-08-26,19:59:59,22.81,7.9522,10.22,2019-08-26 19:59:59
2019-08-26,20:59:59,23.12,7.9765,10.23,2019-08-26 20:59:59
2019-08-26,21:59:59,23.37,7.9821,10.24,2019-08-26 21:59:59
2019-08-26,22:59:59,20.5,8.0536,10.2,2019-08-26 22:59:59
2019-08-26,23:59:59,20.38,8.0535,10.19,2019-08-26 23:59:59
2019-08-27,00:59:59,20.16,8.0329,10.18,2019-08-27 00:59:59
2019-08-27,01:59:59,20.74,8.0325,10.17,2019-08-27 01:59:59
2019-08-27,02:59:59,20.62,8.04,10.17,2019-08-27 02:59:59
2019-08-27,03:59:59,20.5,8.023,10.16,2019-08-27 03:59:59
2019-08-27,04:59:59,20.4,7.9987,10.16,2019-08-27 04:59:59
2019-08-27,05:59:59,20.25,8.006,10.16,2019-08-27 05:59:59
2019-08-27,06:59:59,20.08,7.9799,10.16,2019-08-27 06:59:59
2019-08-27,07:59:59,19.94,7.9693,10.14,2019-08-27 07:59:59
2019-08-27,08:59:59,19.77,7.962,10.13,2019-08-27 08:59:59
2019-08-27,09:59:59,19.6,7.9407,10.13,2019-08-27 09:59:59
2019-08-27,10:59:59,19.43,7.9322,10.12,2019-08-27 10:59:59
2019-08-27,11:59:59,18.11,7.8897,10.08,2019-08-27 11:59:59
2019-08-27,12:59:59,18.02,7.886,10.09,2019-08-27 12:59:59
2019-08-27,13:59:59,18.83,7.904,10.08,2019-08-27 13:59:59
2019-08-27,14:59:59,19.62,7.8921,10.09,2019-08-27 14:59:59
2019-08-27,15:59:59,20.16,7.9108,10.1,2019-08-27 15:59:59
2019-08-27,16:59:59,21.02,7.9079,10.12,2019-08-27 16:59:59
2019-08-27,17:59:59,21.29,7.9282,10.13,2019-08-27 17:59:59
2019-08-27,18:59:59,21.61,7.9639,10.14,2019-08-27 18:59:59
2019-08-27,19:59:59,21.71,7.9743,10.14,2019-08-27 19:59:59
2019-08-27,20:59:59,21.73,7.9746,10.15,2019-08-27 20:59:59
2019-08-27,21:59:59,21.86,7.9743,10.15,2019-08-27 21:59:59
2019-08-27,22:59:59,21.83,7.9788,10.15,2019-08-27 22:59:59
