Date,High,Avg,Low,High Temperature,Avg Temperature,Low Temperature,High Dew Pot,Avg Dew Pot,Low Dew Pot,High Wd Speed (mph),Avg Wd Speed (mph),Low Wd Speed,High Pressure,Low Pressure,Rainfall (in)
6/18/2021,75.4,67.3,55.7,65,59.6,53.1,93%,77%,56%,19,8.4,0,30.1,29.95,0
6/19/2021,74,68.9,65.8,67.8,63.9,59.8,94%,84%,79%,23,12,0,29.96,29.77,0
6/20/2021,79,70.8,66,70.4,65.5,62.3,94%,84%,70%,20,7.5,0,29.92,29.78,0.01
6/21/2021,72.7,70.1,66.9,70.7,68.5,64.8,97%,95%,91%,20,8.5,0,29.9,29.73,0
6/22/2021,77,69.7,62.7,71.2,67.2,61.2,97%,92%,80%,18,7.5,0,29.9,29.69,0.18
6/23/2021,74.4,64.4,56.7,63.4,54.7,46,96%,73%,41%,21,6.7,0,30.38,29.9,0.01
6/24/2021,79.1,66.3,54.9,63.1,54.9,46.1,96%,70%,37%,10,1.8,0,30.5,30.37,0
6/25/2021,74.8,67.1,60.7,71.3,65.2,58.6,97%,94%,85%,17,6.7,0,30.45,30.35,0.1
6/26/2021,77.7,71.4,67.2,73.5,69.9,65.7,99%,95%,85%,20,10.5,4,30.38,30.28,0
6/27/2021,74.9,71.5,69.5,71.4,69.7,67.8,98%,94%,87%,23,12.5,4,30.29,30.22,0
6/28/2021,77.8,72.3,69.3,72.5,69.5,67.9,96%,91%,81%,20,11.6,4,30.28,30.23,0
6/29/2021,81.4,74,69.7,74.3,70.2,67.6,94%,88%,76%,20,9.8,3,30.26,30.15,0
7/1/2021,84.2,75,70.8,74.9,71.2,69,96%,88%,71%,21,4.7,0,29.96,29.81,0.25
7/2/2021,72.2,64.8,59.3,71.1,63.6,58.4,97%,96%,93%,20,4.8,0,29.91,29.77,0.14
7/3/2021,64.3,59.7,56.9,60.9,57.9,56,97%,94%,84%,17,4.2,0,29.91,29.82,0.94
7/4/2021,66.6,59.9,56.1,61.3,57.7,55,97%,93%,77%,13,4.4,0,30.1,29.86,0.06
7/5/2021,73.2,64.9,56.9,65.9,60.9,56,97%,87%,72%,15,3.5,0,30.2,30.1,0
7/6/2021,75.9,71.7,68,71.4,68.7,65.9,94%,90%,84%,22,12.3,0,30.12,29.9,0.04
7/7/2021,82.2,74.1,69.2,74.4,70.4,67.7,96%,89%,75%,17,6.9,0,30.06,29.93,0
7/8/2021,77.7,69.5,64.8,71.9,66,62,97%,89%,75%,21,2.4,0,30.14,30.03,0
7/9/2021,76.5,72.7,69.5,73.3,70.9,67.7,98%,94%,80%,28,7.2,0,30.1,29.62,0.69
7/10/2021,74.2,68.5,61.9,69.3,65.2,59.7,97%,89%,80%,13,3.7,0,30.12,29.94,0
7/11/2021,75.7,67.5,57.4,68.4,63,56.6,97%,86%,72%,15,4.2,0,30.22,30.12,0
7/12/2021,73,68.3,63.7,70.9,66.3,61.9,97%,93%,86%,15,2.2,0,30.34,30.15,0.1
7/13/2021,70.4,66.4,62.9,67.1,64.7,61.4,97%,94%,88%,8,1.3,0,30.36,30.31,0
7/14/2021,79.1,72.1,67,75.9,70.6,66.1,98%,95%,86%,13,3.7,0,30.32,30.16,0
7/15/2021,80.5,73.8,70.5,75.1,71.7,69.9,99%,94%,81%,16,5.9,0,30.19,30.08,0
7/16/2021,79.9,74.3,71.8,75.7,72.9,71.2,99%,96%,85%,19,9.3,2,30.11,30.04,0
7/17/2021,86,75.8,70.9,78.7,73,68.5,99%,92%,74%,14,3.6,0,30.16,30.09,0
7/18/2021,79.6,76.1,73.3,75.5,73.7,71.5,96%,92%,83%,18,8.1,0,30.13,30.03,0.02
7/19/2021,78.4,72.4,66,73,69.2,64.5,96%,90%,77%,18,7.1,0,30.05,29.98,0.03
7/20/2021,82.7,74.5,66.8,75.2,70.8,65.6,97%,89%,72%,14,5.3,0,29.99,29.9,0
7/21/2021,85,75.9,67.3,75.5,69.4,63.4,95%,81%,59%,16,3,0,29.97,29.88,0
7/22/2021,80.5,71.3,62.9,67.2,60.6,51.4,89%,71%,39%,16,5.8,0,30.14,29.96,0
7/23/2021,83.5,72.8,64.8,67.1,62.5,57.2,93%,72%,43%,10,3.1,0,30.17,30.1,0
7/24/2021,85.9,71.3,60.5,67.1,62,53.5,96%,75%,37%,13,3.1,0,30.19,30.12,0
7/25/2021,73.6,70.4,65.4,71,67.4,63,96%,90%,78%,27,8.5,0,30.12,29.94,0.01
7/26/2021,81.3,75.2,72.1,73.9,71.1,68.9,96%,87%,74%,14,6.8,0,29.96,29.91,0
7/27/2021,86.2,75.5,65.9,73.1,67.5,63.9,95%,78%,50%,22,5.1,0,30.03,29.95,0
7/28/2021,74.3,68.3,59.3,66.6,62.6,57.2,94%,83%,62%,15,2.9,0,30.11,29.98,0
7/29/2021,77,68,58.2,65.5,61.3,56.5,97%,81%,55%,19,5,0,30.13,29.81,0.05
7/30/2021,85.3,74.2,66.3,71.3,63.4,50.1,96%,71%,45%,19,7.9,0,29.95,29.67,0.11
7/31/2021,74.1,67.4,59.6,60.7,54.6,48.5,74%,64%,50%,21,8.2,1,30.03,29.95,0
8/1/2021,78.5,67.5,55.1,63.8,58.2,53.4,95%,74%,47%,12,2.8,0,30.04,29.92,0
8/2/2021,86.1,72.1,63.3,66.6,61.9,58.7,93%,72%,44%,13,2.8,0,30.12,29.87,0
8/3/2021,78.8,69.2,59.7,67,62.9,58,95%,81%,61%,8,1.3,0,30.2,30.12,0
8/4/2021,73.8,67.2,63,68.1,64.2,60.7,96%,91%,77%,9,1.3,0,30.27,30.14,0.2
8/5/2021,74.4,69.1,65.4,72.7,68,64.5,98%,96%,87%,23,5.3,0,30.16,30.11,1.37
8/6/2021,77.3,71.4,65.5,72.1,68.6,64.9,98%,91%,77%,17,8,2,30.24,30.16,0.01
8/7/2021,79.9,73.6,69.6,72.9,69.8,66.8,97%,88%,76%,17,7.2,0,30.2,30.08,0
8/8/2021,85.1,76.1,69.1,74.2,69.3,65.4,94%,81%,54%,13,4.1,0,30.21,30.08,0
8/9/2021,76,71,67,71.9,68.9,65.2,97%,93%,85%,7,1,0,30.25,30.19,2.17
8/10/2021,77.8,71.9,67.1,72.7,69.6,66.5,98%,93%,80%,16,6.2,0,30.26,30.16,0.01
8/11/2021,77.8,74.3,73.2,75.2,73.1,72.1,99%,96%,90%,22,11.7,3,30.17,30.04,0.05
8/12/2021,80.7,75.8,73,75.1,73.1,71.6,99%,91%,80%,18,10.2,0,30.07,30,0
8/13/2021,86.2,78,72.5,78.6,73.8,71.3,96%,88%,73%,15,5.9,0,30.11,30.04,0
8/14/2021,84.8,77.9,74.3,80.4,74.2,65.7,96%,89%,68%,16,4.9,0,30.16,30.05,0.01
8/15/2021,80.8,73.2,62.9,66.1,59.8,53.3,85%,64%,44%,15,3.4,0,30.26,30.16,0
8/16/2021,80.4,70.1,61.3,68.8,62.5,58.5,95%,78%,57%,13,2.9,0,30.31,30.26,0
8/17/2021,78.5,72.1,64,69.4,65.1,61.4,95%,79%,64%,17,7,0,30.32,30.27,0
8/18/2021,81.4,74.4,68.5,72.6,68.6,64,92%,83%,68%,15,5.7,0,30.33,30.23,0
8/19/2021,79,76.1,72.3,76.8,74,70.2,96%,93%,90%,22,6.1,0,30.23,29.93,0.07
8/20/2021,81.8,76.2,73.3,76,72.6,70.8,95%,89%,77%,22,8,0,29.99,29.89,0
8/21/2021,85,77.3,71.1,77.3,73.4,69.7,97%,88%,75%,11,3.1,0,30.05,29.98,0
8/22/2021,77.6,74.1,71.7,75.1,72.5,70.2,98%,95%,87%,16,4.3,0,30,29.77,0.15
8/23/2021,85.1,76.1,71.2,77.8,73,69.7,98%,91%,72%,17,2.9,0,29.96,29.83,0.75
8/24/2021,85.2,76.2,70.6,76.5,72.9,69.4,97%,90%,67%,17,7.4,0,30.07,29.8,0.02
8/25/2021,86.7,78.4,71.5,77.3,73.1,70.6,98%,85%,68%,12,3.5,0,30.17,30.07,0
8/26/2021,86.7,78.4,72.7,77.4,73.7,71.2,96%,86%,64%,14,5.6,0,30.19,30.11,0
8/27/2021,93,79.9,73.3,79.6,73.3,68.5,96%,81%,54%,9,2.1,0,30.24,30.1,0
8/28/2021,74.9,69.2,63.7,69.1,59.5,55,86%,72%,58%,13,2.8,0,30.39,30.24,0
8/29/2021,74.6,67.8,58.4,68.8,63.3,55.4,95%,86%,75%,8,1.1,0,30.38,30.14,0.26
8/30/2021,80,74.3,67.1,76.1,71.6,65.4,96%,92%,84%,19,8.3,0,30.14,29.84,0
8/31/2021,86.1,77.3,72.3,73.4,69.2,63.5,97%,77%,54%,11,4.8,0,29.84,29.79,0
9/1/2021,74.3,69.8,63.8,68,64.8,62.6,96%,84%,72%,18,2.9,0,29.94,29.77,1.78
9/2/2021,75.5,65.4,60.6,74.7,60.9,54.3,99%,86%,66%,29,8,0,29.99,29.55,1.44
9/3/2021,76.4,65.7,55.5,63,56.3,52,88%,73%,53%,13,5.1,0,30.05,29.99,0
9/4/2021,80.5,69.1,59.6,67,60.1,55.1,87%,74%,46%,17,6.6,0,30.06,29.98,0
9/5/2021,73.9,70,63.2,67.2,64.3,60.1,94%,82%,72%,20,7,0,30.01,29.89,0
9/6/2021,78.2,72.5,68.5,71.8,68.4,60.6,96%,87%,73%,21,9.9,0,29.91,29.78,0.02
9/7/2021,76.3,69.8,61,66,61.3,56.1,85%,75%,64%,21,8.8,0,30.05,29.91,0
9/8/2021,80.6,73.2,62.1,71.4,66.5,60.1,95%,80%,66%,20,6.5,0,30.04,29.95,0
9/9/2021,74.1,71.7,67.5,71.3,69.5,66.5,97%,93%,82%,17,2.1,0,29.96,29.77,1.8
9/10/2021,79.2,69.9,62.3,68.7,62.9,53,98%,80%,53%,20,6.8,0,30.07,29.74,0.1
9/11/2021,73.5,67,55.8,64.5,57.6,51.7,87%,73%,55%,22,9.1,0,30.25,30.07,0
9/12/2021,74.2,71.6,69.9,69.2,67.2,63.7,93%,86%,79%,29,15.9,3,30.22,30.04,0
9/13/2021,82.8,72.9,61.8,69.7,65.8,59.8,94%,80%,51%,16,4.8,0,30.11,29.98,0
9/14/2021,79.7,68.6,60.6,64.8,59.2,54.7,94%,74%,47%,8,1,0,30.19,30.07,0
9/15/2021,79.3,73.9,67.3,73.6,70.3,63.3,95%,89%,82%,20,8.4,0,30.15,30.02,0
9/16/2021,74.7,69.5,64.9,71.6,67,63.4,97%,92%,76%,19,3.9,0,30.38,30.14,0.52
9/17/2021,75.3,69.3,66.1,71.7,67.4,64.3,98%,94%,84%,10,2.9,0,30.38,30.19,0.03
9/18/2021,75.5,68.1,63.7,70.7,66.3,62.5,99%,94%,81%,14,4.1,0,30.19,30.02,0.01
9/19/2021,71.2,64.7,54.2,66.1,56.2,49.7,97%,75%,50%,21,4.8,0,30.32,30.06,0.23
9/20/2021,74.1,61.3,51.1,63,53.8,49.7,96%,78%,49%,9,1.3,0,30.49,30.32,0
9/21/2021,80.5,66.8,52.9,69.5,61.5,51,97%,84%,57%,10,1,0,30.49,30.37,0.03
9/22/2021,82.3,72.5,66.1,74.1,68.4,64.9,96%,88%,72%,13,1.6,0,30.37,30.18,0.01
9/23/2021,82.4,74.2,69.4,74.4,69.7,66.9,95%,86%,71%,11,1.6,0,30.19,30.12,0
9/24/2021,79.8,73.9,69.4,74.9,70.5,64.3,95%,89%,82%,16,3.1,0,30.14,30.07,0
9/25/2021,70.4,66.8,63.2,67.1,63.9,60.8,97%,91%,84%,8,2,0,30.12,29.92,0.48
9/26/2021,77.1,67.7,62.8,67.6,61.1,52.7,99%,81%,52%,19,6.3,0,29.99,29.81,1.18
9/27/2021,73.5,67,54.7,65.4,59.5,51.6,93%,77%,65%,27,10.6,0,30.03,29.91,0.01
9/28/2021,73.6,68.6,62.8,68.4,65.5,61.8,97%,90%,77%,25,9,0,29.94,29.81,0.27
9/29/2021,65.2,58,51.2,62,52.4,49.2,97%,83%,63%,17,5.6,0,30.05,29.89,0
10/1/2021,70.2,57.4,48,55.4,49.4,45.5,92%,76%,48%,13,4.4,0,30.26,30.17,0
10/2/2021,70,62.8,49.7,62.8,56.4,47.3,94%,80%,63%,22,8.2,0,30.25,30.07,0
10/3/2021,75.2,64.8,57.3,69,61.6,56.1,97%,90%,75%,10,2.3,0,30.09,30,0.01
10/4/2021,62.9,59.4,56.3,61.7,58.6,55.5,98%,97%,96%,9,1.7,0,30.2,30.04,1.83
10/5/2021,59.4,57.8,56,58.4,56.9,55.4,98%,97%,93%,15,4.9,0,30.39,30.17,0.09
10/6/2021,70,60.4,51.4,62,55.2,44.3,98%,85%,42%,9,2.3,0,30.45,30.38,0
10/7/2021,74.2,61.5,49.7,64.1,57,48.9,99%,86%,63%,11,2.6,0,30.4,30.24,0
10/8/2021,71.6,62.2,53.7,63.5,57.6,52.9,99%,86%,61%,13,2.7,0,30.32,30.19,0
10/9/2021,65.8,60.1,55.4,57.5,55,53.1,94%,84%,70%,12,1.7,0,30.4,30.31,0
10/10/2021,65.3,60.2,56.3,60.6,57.4,54.6,96%,91%,77%,10,1.4,0,30.37,30.2,0.04
10/11/2021,72.1,63.8,56.5,65.6,60.6,55.4,97%,90%,73%,11,2.6,0,30.2,30.14,0
10/12/2021,74.1,62.4,54.7,65.9,59.2,54.1,100%,90%,72%,9,2.2,0,30.23,30.13,0
10/13/2021,72.1,63.3,54.3,64.8,59.3,53.7,100%,87%,65%,14,4.5,0,30.13,30,0
10/14/2021,74.2,65.6,57.5,65.6,61.2,56.1,96%,86%,69%,15,4.4,0,30,29.93,0
10/15/2021,73.4,62.1,54.9,67.1,60,54.1,99%,93%,77%,14,2.3,0,30.03,29.96,0
10/16/2021,74.8,69.4,63.4,68.8,66.1,61.6,95%,89%,80%,20,6.2,0,29.98,29.7,0.05
10/17/2021,69.9,61.1,54.3,68.1,53.8,47.9,96%,78%,54%,23,9.6,1,29.8,29.66,0.03
10/18/2021,63.1,55.6,49.7,49.3,45.6,41.2,86%,70%,47%,22,11.3,5,29.9,29.76,0
10/19/2021,63.7,54.7,46.6,49,43.7,40.1,85%,68%,43%,21,10.1,1,29.96,29.85,0
10/20/2021,73.6,62.5,56.5,61.3,54.2,46.9,95%,75%,54%,16,6,0,30.05,29.89,0
10/21/2021,70.3,64.3,57.7,64,60.7,56,96%,88%,69%,19,6.4,0,30.1,29.94,0
10/22/2021,68.1,65.2,57.8,63.8,61.6,53.6,92%,88%,81%,22,10.4,0,29.98,29.85,0
10/23/2021,67.6,56.5,50.5,54.4,48.6,40.1,90%,76%,51%,13,4.8,0,30.04,29.95,0
10/24/2021,60.6,53.1,44.3,49.6,42.3,34.2,83%,68%,42%,16,6.8,0,30.26,30.03,0
10/25/2021,69.9,59.2,51.2,66.9,57.5,48.5,99%,95%,83%,18,2.8,0,30.27,29.93,0.44
10/26/2021,65.3,61.6,54.4,64.1,59.9,53.8,99%,94%,80%,34,6.3,0,29.94,29.33,1.17
10/28/2021,50.5,50,48.6,45,43.8,42.9,85%,79%,77%,12,4.3,0,30.06,30.03,0.01
10/29/2021,55.1,50.1,46.8,47.3,44.9,42.7,91%,82%,71%,12,3.1,0,30.06,29.92,0.01
10/30/2021,64.5,58.4,50.1,62.8,56.5,46.1,98%,94%,86%,17,3.2,0,29.94,29.56,0.15
10/31/2021,63.3,60.6,57.3,62.6,58.3,53.1,99%,93%,85%,25,10.8,0,29.78,29.34,0.59
11/1/2021,63.5,56.3,48.6,53.6,45.4,36.7,88%,69%,38%,21,7.7,1,30.23,29.78,0.02
11/2/2021,57.7,48.3,37.1,47.6,41.5,34,95%,79%,47%,15,3.5,0,30.28,30.19,0.05
11/3/2021,55.4,47.3,41.2,45.4,38.1,31.7,95%,72%,42%,17,6.4,0,30.36,30.2,0.01
11/4/2021,56.4,44.1,35,44.7,37,32.4,94%,77%,42%,12,2.6,0,30.43,30.33,0
11/5/2021,52.4,43.2,30.9,41.4,35.5,28,94%,76%,44%,18,4,0,30.46,30.29,0
11/6/2021,55.2,39.1,28.4,38.2,32,27.4,97%,78%,40%,9,1.6,0,30.51,30.36,0
11/7/2021,56.9,41.2,29.3,42.4,35.5,28.1,97%,82%,48%,8,1.3,0,30.36,30.13,0
11/8/2021,60.3,48.3,36.9,49,41.3,35.6,96%,79%,43%,20,4,0,30.19,30.1,0
11/9/2021,61.9,49,34.8,57,46.8,34,99%,92%,79%,15,3.2,0,30.18,30.05,0
11/10/2021,64.7,52.1,36.8,53.6,47.1,35.3,99%,85%,57%,17,2.9,0,30.28,30,0
11/11/2021,60.3,45.1,31.6,44.6,37.9,30.1,96%,78%,47%,10,1.7,0,30.46,30.28,0
11/12/2021,62.4,56.8,49.3,61.5,54.2,43.2,99%,91%,79%,20,5.1,0,30.42,29.91,1.67
11/13/2021,62.7,49.5,37.7,52.7,44,34.9,100%,83%,46%,29,4.6,0,30,29.57,0.06
11/14/2021,52.5,46.7,41,43.3,38.2,34.9,84%,73%,57%,20,7.6,0,29.99,29.82,0
11/15/2021,53.3,46.6,42.3,48.2,39,32.9,93%,76%,54%,24,9,0,29.92,29.72,0.01
11/16/2021,50.9,43.3,37.7,34.5,31.7,28,76%,64%,44%,21,10.4,3,30.29,29.92,0
11/17/2021,53.2,42.6,30,50.3,35,27.2,91%,75%,46%,16,2.7,0,30.45,30.25,0
11/18/2021,61.9,58.5,53.2,57.5,55.7,50.3,96%,90%,84%,23,10.2,0,30.25,29.94,0
11/19/2021,57.4,47.4,42.4,56.2,39.5,30.4,96%,76%,51%,24,11.9,3,30.3,29.92,0
11/20/2021,48.5,44,35.7,34.6,29.8,26.1,72%,57%,46%,11,5.6,0,30.63,30.56,0
11/21/2021,55.5,52.9,42.6,51.7,49.3,32,90%,88%,66%,8,2,0,30.42,30.26,0
11/22/2021,54.5,51.9,51.2,51.8,49.7,48.7,94%,92%,84%,12,7.8,4,29.88,29.8,0.3
11/23/2021,51.6,38.4,34.4,49.1,23.8,18.7,91%,56%,43%,20,11.6,4,29.96,29.92,0
11/24/2021,44.2,39.8,29.8,25.8,22.3,18.6,69%,50%,40%,20,11,6,30.29,30.24,0
11/25/2021,55.3,41.7,-40,43,29.8,-40,75%,57%,0%,9,5.1,0,30.15,29.8,0.34
11/26/2021,46.9,-9.5,-40,45.8,-10,-40,96%,34%,0%,23,6.8,0,29.8,29.49,0.08
11/27/2021,42.1,1.7,-40,29.3,-4.6,-40,76%,32%,0%,24,12.8,5,29.93,29.51,0
11/28/2021,38.6,8.1,-40,30.8,2,-40,75%,43%,0%,15,7.3,3,29.99,29.93,0
11/30/2021,40.5,37.2,-40,34.1,28.9,-40,100%,72%,52%,18,7.2,0,30.08,30,0
12/1/2021,50.6,39.1,31.2,38,32.6,28.6,92%,78%,51%,17,4.5,0,30.25,30,0
12/2/2021,59.5,47.3,34.1,53.6,43.3,31.8,94%,86%,71%,23,4,0,30.2,29.66,0
12/3/2021,45.7,42.7,-40,32.4,28.4,-40,100%,57%,46%,24,13.2,5,29.94,29.77,0
12/4/2021,41.8,38.7,-40,30.3,27.3,-40,100%,64%,57%,10,4.5,0,30.21,30.16,0
12/5/2021,49.3,44.6,-40,34,30.7,-40,100%,58%,49%,9,4.1,0,30.47,30.39,0
12/6/2021,59.7,56.9,45.5,57.7,54.5,30.7,96%,92%,56%,27,11.5,0,30.04,29.84,0.06
12/7/2021,46.3,13.9,-40,29.6,3.8,-40,67%,36%,0%,91,6.9,0,30.27,29.77,0
12/8/2021,-40,-40,-40,-40,-40,-40,0%,0%,0%,0,0,0,30.26,30.26,0
12/9/2021,39.1,34.9,29.2,27.5,24.2,21.6,80%,65%,58%,15,5.2,0,30.35,30.2,0
12/10/2021,48.6,39.2,28.3,42.6,34.5,23.6,95%,83%,72%,8,0.4,0,30.35,30.21,0
