Date,Temp (C),Salinity (psu),Datetime_noyear
1/13/2023,5.96,32.77,1900-01-13
1/14/2023,5.9,32.72,1900-01-14
1/15/2023,7.0,32.7,1900-01-15
1/16/2023,8.18,32.75,1900-01-16
1/17/2023,7.96,32.8,1900-01-17
1/18/2023,9.22,32.77,1900-01-18
1/19/2023,10.56,32.78,1900-01-19
1/20/2023,11.31,32.78,1900-01-20
1/21/2023,12.72,32.79,1900-01-21
1/22/2023,13.86,32.76,1900-01-22
1/23/2023,14.79,32.74,1900-01-23
1/24/2023,16.38,32.29,1900-01-24
1/25/2023,17.04,32.32,1900-01-25
1/26/2023,16.9,32.34,1900-01-26
1/27/2023,17.09,32.35,1900-01-27
1/28/2023,18.69,32.63,1900-01-28
1/29/2023,18.55,33.03,1900-01-29
1/30/2023,19.64,33.07,1900-01-30
1/31/2023,19.07,32.98,1900-01-31
2/1/2023,19.63,32.97,1900-02-01
2/9/2023,17.238,32.08,1900-02-09
2/10/2023,17.633,30.28,1900-02-10
2/11/2023,18.0,30.42,1900-02-11
2/12/2023,17.2,29.8,1900-02-12
2/13/2023,17.401,29.82,1900-02-13
2/14/2023,16.4,33.79,1900-02-14
2/15/2023,17.132,33.8,1900-02-15
2/16/2023,16.814,29.38,1900-02-16
2/17/2023,16.616,27.84,1900-02-17
2/18/2023,17.56,27.98,1900-02-18
2/19/2023,17.68,28.06,1900-02-19
2/20/2023,16.47,29.47,1900-02-20
2/21/2023,16.942,29.53,1900-02-21
2/22/2023,17.717,29.44,1900-02-22
2/23/2023,16.905,29.63,1900-02-23
2/25/2023,17.39,29.66,1900-02-25
2/26/2023,16.9,28.18,1900-02-26
2/27/2023,17.635,28.26,1900-02-27
2/28/2023,17.58,27.94,1900-02-28
3/2/2023,17.345,32.64,1900-03-02
3/3/2023,4.82,32.71,1900-03-03
3/4/2023,5.89,32.75,1900-03-04
3/5/2023,7.3,32.74,1900-03-05
3/6/2023,8.12,32.76,1900-03-06
3/7/2023,9.294,32.78,1900-03-07
3/8/2023,10.27,30.35,1900-03-08
3/9/2023,11.565,30.37,1900-03-09
3/10/2023,12.75,30.38,1900-03-10
3/11/2023,13.46,30.2,1900-03-11
3/12/2023,4.63,30.13,1900-03-12
3/13/2023,4.45,30.11,1900-03-13
3/14/2023,4.98,30.05,1900-03-14
3/15/2023,5.94,30.11,1900-03-15
3/16/2023,7.01,30.27,1900-03-16
3/17/2023,8.1,30.11,1900-03-17
3/18/2023,9.3,29.84,1900-03-18
3/19/2023,10.1,29.8,1900-03-19
3/20/2023,11.22,29.88,1900-03-20
3/21/2023,12.56,29.82,1900-03-21
3/22/2023,13.48,29.64,1900-03-22
3/23/2023,14.56,29.65,1900-03-23
3/24/2023,15.61,29.58,1900-03-24
3/25/2023,16.7,29.58,1900-03-25
3/26/2023,17.78,29.67,1900-03-26
3/27/2023,18.85,29.7,1900-03-27
3/28/2023,18.86,29.6,1900-03-28
3/29/2023,18.84,29.6,1900-03-29
3/30/2023,18.85,29.61,1900-03-30
3/31/2023,18.85,29.6,1900-03-31
4/1/2023,18.7,29.6,1900-04-01
4/2/2023,18.97,29.58,1900-04-02
4/3/2023,18.85,29.63,1900-04-03
4/5/2023,18.87,29.92,1900-04-05
4/6/2023,18.86,30.2,1900-04-06
4/7/2023,19.02,30.18,1900-04-07
4/8/2023,18.7,30.15,1900-04-08
4/9/2023,18.8,30.07,1900-04-09
4/10/2023,18.8,30.12,1900-04-10
4/11/2023,18.72,30.14,1900-04-11
4/12/2023,18.98,30.14,1900-04-12
4/13/2023,18.82,28.19,1900-04-13
4/14/2023,18.87,30.46,1900-04-14
4/15/2023,18.8,31.18,1900-04-15
4/16/2023,18.7,31.18,1900-04-16
4/17/2023,18.54,31.16,1900-04-17
4/18/2023,18.83,31.17,1900-04-18
4/19/2023,18.71,30.9,1900-04-19
4/20/2023,18.98,30.12,1900-04-20
4/21/2023,18.94,29.73,1900-04-21
4/22/2023,18.67,29.52,1900-04-22
4/23/2023,18.64,29.37,1900-04-23
4/25/2023,18.53,30.29,1900-04-25
4/26/2023,18.63,31.33,1900-04-26
4/27/2023,18.45,31.49,1900-04-27
4/28/2023,18.41,31.44,1900-04-28
4/29/2023,18.45,31.35,1900-04-29
4/30/2023,18.6,31.43,1900-04-30
5/1/2023,18.39,31.65,1900-05-01
5/2/2023,18.38,32.03,1900-05-02
5/5/2023,18.72,30.5,1900-05-05
5/8/2023,18.94,31.08,1900-05-08
5/9/2023,18.95,30.64,1900-05-09
5/13/2023,18.83,30.25,1900-05-13
5/14/2023,18.84,30.12,1900-05-14
5/15/2023,18.82,30.09,1900-05-15
5/16/2023,18.83,30.13,1900-05-16
5/17/2023,19.48,31.11,1900-05-17
12/7/2023,7.91,26.98,1900-12-07
12/8/2023,8.9,27.02,1900-12-08
12/9/2023,9.5,26.89,1900-12-09
12/10/2023,12.8,27.1,1900-12-10
12/11/2023,12.8,27.18,1900-12-11
12/12/2023,13.6,27.51,1900-12-12
12/13/2023,14.91,27.68,1900-12-13
12/14/2023,15.97,27.78,1900-12-14
12/15/2023,17.12,27.9,1900-12-15
12/16/2023,18.37,27.91,1900-12-16
12/17/2023,19.34,27.94,1900-12-17
12/18/2023,20.67,27.97,1900-12-18
12/19/2023,20.37,28.02,1900-12-19
12/20/2023,20.549,27.98,1900-12-20
12/21/2023,20.66,27.96,1900-12-21
12/22/2023,20.48,28.02,1900-12-22
12/23/2023,20.28,27.65,1900-12-23
12/24/2023,20.34,27.86,1900-12-24
12/25/2023,20.59,28.05,1900-12-25
12/26/2023,20.44,28.0,1900-12-26
12/27/2023,20.56,28.02,1900-12-27
12/28/2023,20.715,28.06,1900-12-28
12/29/2023,20.78,28.0,1900-12-29
12/30/2023,20.77,28.03,1900-12-30
12/31/2023,20.48,28.21,1900-12-31
